IndexNum,Week,VisitorName,HomeTeam,GameDate,GameTime,DisplayValue,InPool,PointSpread,GameId,VS,Station,Mobile
1,1,Nevada,New Mexico State,08/27/22,,,No,,,,,,
2,1,Austin Peay,Western Kentucky,08/27/22,12:00:00 PM,,No,,,,,,
3,1,Nebraska,Northwestern,08/27/22,12:30:00 PM,,No,,,,,,
4,1,Idaho State,UNLV,08/27/22,03:30:00 PM,,No,,,,,,
5,1,UConn,Utah State,08/27/22,04:00:00 PM,,No,,,,,,
6,1,Wyoming,Illinois,08/27/22,04:00:00 PM,,No,,,,,,
7,1,Duquesne,Florida State,08/27/22,05:00:00 PM,,No,,,,,,
8,1,Charlotte,Florida Atlantic,08/27/22,07:00:00 PM,,No,,,,,,
9,1,Florida A&M,North Carolina,08/27/22,08:15:00 PM,,No,,,,,,
10,1,North Texas,UTEP,08/27/22,09:00:00 PM,,No,,,,,,
11,1,Vanderbilt,Hawai'i,08/27/22,10:30:00 PM,,No,,,,,,
12,1,St. Francis (PA),Akron,09/01/22,06:00:00 PM,,No,,,,,,
13,1,Ball State,Tennessee,09/01/22,07:00:00 PM,,No,,,,,,
14,1,West Virginia,Pittsburgh,09/01/22,07:00:00 PM,,No,,,,,,
15,1,South Carolina State,UCF,09/01/22,07:00:00 PM,,No,,,,,,
16,1,Central Michigan,Oklahoma State,09/01/22,07:00:00 PM,,No,,,,,,
17,1,Bryant,Florida International,09/01/22,07:00:00 PM,,No,,,,,,
18,1,Long Island University,Toledo,09/01/22,07:00:00 PM,,No,,,,,,
19,1,VMI,Wake Forest,09/01/22,07:30:00 PM,,No,,,,,,
20,1,Penn State,Purdue,09/01/22,08:00:00 PM,,No,,,,,,
21,1,Eastern Illinois,Northern Illinois,09/01/22,08:00:00 PM,,No,,,,,,
22,1,Alabama A&M,UAB,09/01/22,08:00:00 PM,,No,,,,,,
23,1,Louisiana Tech,Missouri,09/01/22,08:00:00 PM,,No,,,,,,
24,1,New Mexico State,Minnesota,09/01/22,09:00:00 PM,,No,,,,,,
25,1,Northern Arizona,Arizona State,09/01/22,10:00:00 PM,,No,,,,,,
26,1,Cal Poly,Fresno State,09/01/22,10:30:00 PM,,No,,,,,,
27,1,Portland State,San José State,09/01/22,10:30:00 PM,,No,,,,,,
28,1,Eastern Kentucky,Eastern Michigan,09/02/22,07:00:00 PM,,No,,,,,,
29,1,Western Michigan,Michigan State,09/02/22,07:00:00 PM,,No,,,,,,
30,1,Virginia Tech,Old Dominion,09/02/22,07:00:00 PM,,No,,,,,,
31,1,William & Mary,Charlotte,09/02/22,07:00:00 PM,,No,,,,,,
32,1,Temple,Duke,09/02/22,07:30:00 PM,,No,,,,,,
33,1,Tennessee Tech,Kansas,09/02/22,08:00:00 PM,,No,,,,,,
34,1,Illinois,Indiana,09/02/22,08:00:00 PM,,No,,,,,,
35,1,TCU,Colorado,09/02/22,10:00:00 PM,,No,,,,,,
36,1,Sam Houston,Texas A&M,09/03/22,12:00:00 PM,,No,,,,,,
37,1,Central Connecticut,UConn,09/03/22,12:00:00 PM,,No,,,,,,
38,1,South Dakota State,Iowa,09/03/22,12:00:00 PM,,No,,,,,,
39,1,Buffalo,Maryland,09/03/22,12:00:00 PM,,No,,,,,,
40,1,Colorado State,Michigan,09/03/22,12:00:00 PM,,No,,,,,,
41,1,Rutgers,Boston College,09/03/22,12:00:00 PM,,No,,,,,,
42,1,North Carolina,Appalachian State,09/03/22,12:00:00 PM,,No,,,,,,
43,1,NC State,East Carolina,09/03/22,12:00:00 PM,,No,,,,,,
44,1,Delaware,Navy,09/03/22,12:00:00 PM,,No,,,,,,
45,1,Richmond,Virginia,09/03/22,12:30:00 PM,,No,,,,,,
46,1,Northern Iowa,Air Force,09/03/22,01:00:00 PM,,No,,,,,,
47,1,Southeast Missouri State,Iowa State,09/03/22,02:00:00 PM,,No,,,,,,
48,1,Bowling Green,UCLA,09/03/22,02:30:00 PM,,No,,,,,,
49,1,Cincinnati,Arkansas,09/03/22,03:30:00 PM,,No,,,,,,
50,1,Oregon,Georgia,09/03/22,03:30:00 PM,,No,,,,,,
51,1,Arizona,San Diego State,09/03/22,03:30:00 PM,,No,,,,,,
52,1,North Dakota,Nebraska,09/03/22,03:30:00 PM,,No,,,,,,
53,1,Bethune-Cookman,Miami,09/03/22,03:30:00 PM,,No,,,,,,
54,1,Norfolk State,Marshall,09/03/22,03:30:00 PM,,No,,,,,,
55,1,Tulsa,Wyoming,09/03/22,03:30:00 PM,,No,,,,,,
56,1,UTEP,Oklahoma,09/03/22,03:30:00 PM,,No,,,,,,
57,1,Houston,UTSA,09/03/22,03:30:00 PM,,No,,,,,,
58,1,Troy,Ole Miss,09/03/22,04:00:00 PM,,No,,,,,,
59,1,UC Davis,California,09/03/22,04:00:00 PM,,No,,,,,,
60,1,BYU,South Florida,09/03/22,04:00:00 PM,,No,,,,,,
61,1,Nicholls,South Alabama,09/03/22,05:00:00 PM,,No,,,,,,
62,1,Texas State,Nevada,09/03/22,05:30:00 PM,,No,,,,,,
63,1,Morgan State,Georgia Southern,09/03/22,06:00:00 PM,,No,,,,,,
64,1,Florida Atlantic,Ohio,09/03/22,06:00:00 PM,,No,,,,,,
65,1,Middle Tennessee,James Madison,09/03/22,06:00:00 PM,,No,,,,,,
66,1,Rice,USC,09/03/22,06:00:00 PM,,No,,,,,,
67,1,Mercer,Auburn,09/03/22,07:00:00 PM,,No,,,,,,
68,1,Utah,Florida,09/03/22,07:00:00 PM,,No,,,,,,
69,1,Miami (OH),Kentucky,09/03/22,07:00:00 PM,,No,,,,,,
70,1,Elon,Vanderbilt,09/03/22,07:00:00 PM,,No,,,,,,
71,1,South Dakota,Kansas State,09/03/22,07:00:00 PM,,No,,,,,,
72,1,Army,Coastal Carolina,09/03/22,07:00:00 PM,,No,,,,,,
73,1,Liberty,Southern Miss,09/03/22,07:00:00 PM,,No,,,,,,
74,1,Illinois State,Wisconsin,09/03/22,07:00:00 PM,,No,,,,,,
75,1,UMass,Tulane,09/03/22,07:00:00 PM,,No,,,,,,
76,1,SE Louisiana,Louisiana,09/03/22,07:00:00 PM,,No,,,,,,
77,1,Albany,Baylor,09/03/22,07:00:00 PM,,No,,,,,,
